rgiid,year,dhdt,Area,Zmed,t2m,tp
RGI60-13.00008,2003,0.058044819487734975,73.44892392073342,3890.6419726846425,-3.8689150313625205,1136.0435700489634
RGI60-13.00008,2004,-0.03569401227138255,73.44892392073342,3890.6419726846425,-4.305980176408935,635.097060003038
RGI60-13.00008,2005,0.01844603328201091,73.44892392073342,3890.6419726846425,-3.492894498733457,948.6080194569493
RGI60-13.00009,2000,-0.030962417004563605,71.68883789643333,4756.575081159347,-2.4327979099518102,972.012432110988
RGI60-13.00009,2001,-0.001010801886160935,71.68883789643333,4756.575081159347,-2.6124535479281334,294.4666680615153
RGI60-13.00009,2002,-0.013111411478850823,71.68883789643333,4756.575081159347,-3.6601186753337127,1136.8131505337792
RGI60-13.00009,2003,-0.03776497710343052,71.68883789643333,4756.575081159347,-1.8388864813225005,1031.112672124906
RGI60-13.00009,2004,-0.010071585660767067,71.68883789643333,4756.575081159347,-4.219824785363185,799.3827915208435
RGI60-13.00009,2005,0.0520524677526488,71.68883789643333,4756.575081159347,-4.7736724227469916,977.4048382411776
RGI60-13.00010,2000,-0.02486532729703942,41.0578125237827,3631.6925076537523,-3.59491054144128,429.6560299988553
RGI60-13.00010,2001,-0.05403063994801272,41.0578125237827,3631.6925076537523,-3.1672734480677707,321.8325046285311
RGI60-13.00010,2002,0.009895830489360276,41.0578125237827,3631.6925076537523,-4.891876324351445,781.1166092209023
RGI60-13.00010,2003,-0.02077302875434678,41.0578125237827,3631.6925076537523,-4.220948128840974,915.4071296158016
RGI60-13.00010,2004,-0.012928725822429855,41.0578125237827,3631.6925076537523,-3.723242208886699,323.7538036503446
RGI60-13.00010,2005,0.041338249631207205,41.0578125237827,3631.6925076537523,-4.281003320000295,500.9486917809397
RGI60-13.00011,2000,0.06318825790964712,53.70340859555943,6066.8697711409095,-4.18540681509988,1124.808429312027
RGI60-13.00011,2001,-0.01327368147683004,53.70340859555943,6066.8697711409095,-3.649003850474534,833.9751116810851
RGI60-13.00011,2002,0.11789623392969953,53.70340859555943,6066.8697711409095,-3.771412262046551,619.1143193163039
RGI60-13.00011,2003,-0.03031225269637119,53.70340859555943,6066.8697711409095,-1.5677864664619956,1133.0232216002112
RGI60-13.00011,2004,0.12013853787235186,53.70340859555943,6066.8697711409095,-5.5161304022044035,984.7634492521875
RGI60-13.00011,2005,-0.029288722777989627,53.70340859555943,6066.8697711409095,-2.25297565493412,1029.4286148827364
